Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,451,288023,6140435957976380651,18214.486284,1256.905564,28.656334,0.000000,19501.002774
2,451,288023,6140435957976380651,19879.129636,1361.460645,30.450791,0.000000,21271.985459
3,451,288023,6140435957976380651,18397.932006,1269.658593,30.158799,0.000000,19698.622738
4,451,288023,6140435957976380651,18473.472679,1272.456432,29.868573,0.000000,19776.689641
5,451,288023,6140435957976380651,21032.912612,1566.806001,38.892010,0.000000,22639.737793
MEAN,,,,19199.586643,1345.457447,31.605301,0.000000,20577.607681
STD_DEV,,,,1092.078491,116.762438,3.694158,0.000000,1208.941972
