Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1236,4353,1479050492479337403,4617.646404,1395.853294,30.439152,0.000000,6044.924785
2,1236,4353,1479050492479337403,4558.021126,1386.866816,30.393725,0.000000,5976.420506
3,1236,4353,1479050492479337403,4575.612801,1364.644546,29.952228,0.000000,5971.227752
4,1236,4353,1479050492479337403,4614.056174,1377.805422,30.778796,0.000000,6023.763307
5,1236,4353,1479050492479337403,4692.640610,1390.634595,31.517385,0.000000,6115.969579
MEAN,,,,4611.595423,1383.160935,30.616257,0.000000,6026.461186
STD_DEV,,,,46.424016,10.974728,0.521588,0.000000,52.753649
