Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1236,4353,1479050492479337403,13432.045034,1622.405206,35.962656,67186.414694,82344.214879
2,1236,4353,1479050492479337403,13773.470690,1628.460702,37.018427,65704.770450,81212.267062
3,1236,4353,1479050492479337403,18544.278891,1647.410224,37.128224,65908.632548,86202.415736
4,1236,4353,1479050492479337403,14342.356200,1755.228776,46.372528,67719.027313,83927.391067
5,1236,4353,1479050492479337403,16176.739680,1667.968024,38.119236,68952.241894,86904.155011
MEAN,,,,15253.778099,1664.294586,38.920214,67094.217380,84118.088751
STD_DEV,,,,1898.418542,48.179643,3.788238,1198.942622,2178.686668
