Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,Total_Ants_Global,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_halo_ms,T_comm_migration_ms,T_comm_food_ms,T_comm_ms,T_total_ms,Ants_Min,Ants_Avg,Ants_Max,Ants_Stddev,Imbalance_Ratio
1,2,1236,4353,1479050492479337403,5000,5856.383504,898.200693,11.209201,6765.400163,144.824212,1757.884875,4.210444,1906.919531,6929.523325,2291.000000,2500.000000,2709.000000,209.000000,1.083600
MEAN,2,,,,,5856.383504,898.200693,11.209201,6765.400163,144.824212,1757.884875,4.210444,1906.919531,6929.523325,2291.000000,2500.000000,2709.000000,209.000000,1.083600
STD_DEV,2,,,,,0.000009,0.000007,0.000000,0.000000,0.000001,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
