Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,Total_Ants_Global,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_halo_ms,T_comm_migration_ms,T_comm_food_ms,T_comm_ms,T_total_ms,Ants_Min,Ants_Avg,Ants_Max,Ants_Stddev,Imbalance_Ratio
1,4,1236,4353,1479050492479337403,5000,4831.305456,633.221402,7.679398,5456.554481,324.335811,2545.901782,7.764944,2877.498797,5637.942695,849.000000,1250.000000,1845.000000,418.534945,1.476000
MEAN,4,,,,,4831.305456,633.221402,7.679398,5456.554481,324.335811,2545.901782,7.764944,2877.498797,5637.942695,849.000000,1250.000000,1845.000000,418.534945,1.476000
STD_DEV,4,,,,,0.000038,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
