Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,Total_Ants_Global,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_halo_ms,T_comm_migration_ms,T_comm_food_ms,T_comm_ms,T_total_ms,Ants_Min,Ants_Avg,Ants_Max,Ants_Stddev,Imbalance_Ratio
1,2,1236,4353,1479050492479337403,5000,5949.741979,897.194851,10.965612,6857.902442,138.549919,1763.882483,3.598105,1906.019708,7012.871968,2291.000000,2500.000000,2709.000000,209.000000,1.083600
MEAN,2,,,,,5949.741979,897.194851,10.965612,6857.902442,138.549919,1763.882483,3.598105,1906.019708,7012.871968,2291.000000,2500.000000,2709.000000,209.000000,1.083600
STD_DEV,2,,,,,0.000000,0.000000,0.000000,0.000043,0.000000,0.000006,0.000000,0.000015,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
