Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_food_ms,T_comm_pher_ms,T_comm_ms,T_total_ms,Sanity_ecart_ms
1,2,1236,4353,11395028009797571048,3368.644603,2263.284015,46.257234,5678.185852,291.139470,5249.109708,5532.560385,11197.313118,4.978876
2,2,1236,4353,11395028009797571048,3230.084481,2195.393012,46.166718,5469.511885,224.427105,4937.940907,5161.590954,10589.601433,4.973097
3,2,1236,4353,11395028009797571048,3299.181379,2258.344466,46.733330,5581.787806,222.710948,5067.891882,5268.197853,10838.410438,4.992229
MEAN,2,,,,3299.303488,2239.007164,46.385761,5576.495181,246.092508,5084.980832,5320.783064,10875.108330,4.981401
STD_DEV,2,,,,56.566999,30.905722,0.248531,85.272954,31.860717,127.607549,155.945467,249.450629,0.008012
