Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_food_ms,T_comm_pher_ms,T_comm_ms,T_total_ms,Sanity_ecart_ms
1,1,1236,4353,1479050492479337403,4233.698244,1270.746100,31.776127,5536.220471,9.169140,2.959238,12.128378,5551.946156,3.597307
2,1,1236,4353,1479050492479337403,4158.244712,1265.532979,31.082052,5454.859743,8.730487,2.958436,11.688923,5470.031650,3.482984
3,1,1236,4353,1479050492479337403,5024.492545,1403.320615,36.733165,6464.546325,10.371225,3.657568,14.028793,6482.401149,3.826031
MEAN,1,,,,4472.145167,1313.199898,33.197115,5818.542180,9.423617,3.191747,12.615365,5834.792985,3.635441
STD_DEV,1,,,,391.781426,63.760499,2.516370,457.999934,0.693577,0.329385,1.015419,459.147578,0.142621
