Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1305,171,5399718842700556214,1455.285700,4885.317344,11801.868083,66586.503669,84779.978637
MEAN,,,,1455.285700,4885.317344,11801.868083,66586.503669,84779.978637
STD_DEV,,,,0.000000,0.000000,0.000000,0.000000,0.000000
