Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1236,4353,1479050492479337403,3478.893841,778.114640,50.177981,0.000000,4309.432228
2,1236,4353,1479050492479337403,3653.081070,794.567647,52.569807,0.000000,4502.462028
3,1236,4353,1479050492479337403,4175.259203,869.311173,56.152885,0.000000,5102.931251
4,1236,4353,1479050492479337403,4034.514369,820.399407,55.304507,0.000000,4912.392172
5,1236,4353,1479050492479337403,3872.218935,805.361074,53.873317,0.000000,4733.936644
MEAN,,,,3842.793484,813.550788,53.615699,0.000000,4712.230865
STD_DEV,,,,251.622717,31.110370,2.110334,0.000000,282.641889
