Repetition,Time_ms,First_Iteration,Food_KPI,Checksum
1,8603.996680,1236,296,1641247467920585528
2,6541.750829,1236,296,1641247467920585528
3,7248.757902,1236,296,1641247467920585528
4,6818.911708,1236,296,1641247467920585528
5,6527.721943,1236,296,1641247467920585528
MEAN_TIME_MS,7148.227812,,
STD_DEV_TIME_MS,773.389974,,
