Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1236,4353,1479050492479337403,4444.436147,1318.967071,29.271290,0.000000,5794.088592
MEAN,,,,4444.436147,1318.967071,29.271290,0.000000,5794.088592
STD_DEV,,,,0.000029,0.000006,0.000000,0.000000,0.000000
