Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1236,296,1641247467920585528,6773.946493,851.200723,19.036172,26145.652693,33822.589072
MEAN,,,,6773.946493,851.200723,19.036172,26145.652693,33822.589072
STD_DEV,,,,0.000000,0.000005,0.000000,0.000000,0.000286
