Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_food_ms,T_comm_pher_ms,T_comm_ms,T_total_ms,Sanity_ecart_ms
1,4,1236,4353,7499617298835022555,3244.944167,7766.023387,76.932844,11081.017828,1076.531946,23055.367067,23484.068503,34067.886291,8.580782
2,4,1236,4353,7499617298835022555,3317.778281,7945.904988,80.497530,11344.180799,1004.727042,23331.998197,24268.188251,35238.049024,8.248335
3,4,1236,4353,7499617298835022555,3414.950915,7593.670563,72.334513,11080.955991,1097.810704,22894.125623,23432.382597,33828.813669,8.336141
MEAN,4,,,,3325.891121,7768.532979,76.588296,11168.718206,1059.689897,23093.830296,23728.213117,34378.249661,8.388419
STD_DEV,4,,,,69.641641,143.810051,3.341432,124.070792,39.823636,180.817888,382.402682,615.754355,0.140665
