Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,0,0,12691458182250641627,4398.187650,682.149392,199.669285,5002.583073,10297.795953
MEAN,,,,4398.187650,682.149392,199.669285,5002.583073,10297.795953
STD_DEV,,,,0.000000,0.000000,0.000000,0.000000,0.000000
