Repetition,MPI_Procs,First_Iteration,Food_KPI,Checksum,Total_Ants_Global,T_compute_move_ms,T_compute_evap_ms,T_compute_update_ms,T_compute_ms,T_comm_halo_ms,T_comm_migration_ms,T_comm_food_ms,T_comm_ms,T_total_ms,Ants_Min,Ants_Avg,Ants_Max,Ants_Stddev,Imbalance_Ratio
1,4,1236,4353,1479050492479337403,5000,3730.887687,1169.333875,10.052661,4793.727277,276.374888,1705.758295,5.469386,1872.706406,4957.080041,849.000000,1250.000000,1845.000000,418.534945,1.476000
2,4,1236,4353,1479050492479337403,5000,3412.807065,1103.858786,9.282897,4410.140250,272.755672,1506.719418,5.151626,1695.001331,4577.389745,849.000000,1250.000000,1845.000000,418.534945,1.476000
3,4,1236,4353,1479050492479337403,5000,3295.677605,1093.491237,9.212355,4277.730096,196.221789,1542.512348,4.840968,1683.570824,4426.551156,849.000000,1250.000000,1845.000000,418.534945,1.476000
MEAN,4,,,,,3479.790786,1122.227966,9.515971,4493.865874,248.450783,1584.996687,5.153993,1750.426187,4653.673647,849.000000,1250.000000,1845.000000,418.534945,1.476000
STD_DEV,4,,,,,183.878706,33.576743,0.380588,218.816145,36.961020,86.632588,0.256556,86.591005,223.203420,0.000000,0.000000,0.000000,0.000000,0.000000
