Repetition,First_Iteration,Food_KPI,Checksum,T_move_ants,T_evap,T_pher_update,T_render,T_total
1,1236,4353,1479050492479337403,4329.122281,1275.928114,30.026318,0.000000,5636.443613
MEAN,,,,4329.122281,1275.928114,30.026318,0.000000,5636.443613
STD_DEV,,,,0.000000,0.000000,0.000000,0.000000,0.000000
